Indicator,Region,Frequency,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01
Migration growth (reduction) of the population,Sumska,Monthly,-54,-214,-293,-330,-560,-673,-863,-1150,-1676,-1938,-2185,-2301,-70
Migration growth (reduction) of the population,Ternopilska,Monthly,96,155,250,369,504,532,624,707,647,593,626,717,212
Migration growth (reduction) of the population,Kharkivska,Monthly,230,424,1051,1842,1921,1524,512,668,3618,4094,4631,4701,379
Migration growth (reduction) of the population,Khersonska,Monthly,-89,-204,-304,-404,-573,-719,-810,-1041,-1448,-1688,-1885,-2073,-178
Migration growth (reduction) of the population,Khmelnytska,Monthly,58,83,203,240,211,358,693,740,265,-8,-49,-133,0
Migration growth (reduction) of the population,Cherkaska,Monthly,76,-44,28,35,-106,-179,-163,-207,-771,-1091,-1223,-1396,-43
Migration growth (reduction) of the population,Chernivetska,Monthly,189,357,429,546,492,192,167,208,228,277,345,431,149
Migration growth (reduction) of the population,Chernihivska,Monthly,29,-167,-194,-184,-376,-457,-437,-517,-1039,-1227,-1320,-1449,-137
Migration growth (reduction) of the population,Kyiv,Monthly,-591,266,664,-1703,434,492,-1239,-1453,1639,3092,4485,5733,-178
Migration growth (reduction) of the population,Sevastopol,Monthly,,,,,,,,,,,,,
